CPMG train data
Estimated phase correction: -2.069873 rad
time in s	real part	imag part	abs value
0.013503	-0.002747	-0.004647	0.005399
0.013553	-0.002003	-0.004447	0.004877
0.013603	-0.002510	-0.004253	0.004938
0.013653	-0.002378	-0.004507	0.005096
0.013703	-0.001870	-0.004507	0.004880
0.013753	-0.001901	-0.004325	0.004724
0.013803	-0.002280	-0.004643	0.005172
0.013853	-0.002002	-0.004201	0.004653
0.013903	-0.002603	-0.003862	0.004658
0.013953	-0.002433	-0.004572	0.005179
0.014003	-0.002315	-0.004282	0.004868
0.014053	-0.002386	-0.004689	0.005261
0.014103	-0.003051	-0.004827	0.005710
0.014153	-0.002569	-0.004377	0.005075
0.014203	-0.001973	-0.004840	0.005227
0.014253	-0.002312	-0.004500	0.005059
0.014303	-0.002667	-0.003992	0.004801
0.014353	-0.002472	-0.004509	0.005142
0.014403	-0.002232	-0.004414	0.004946
0.014453	-0.002528	-0.004638	0.005282
0.014503	-0.002300	-0.004098	0.004699
0.014553	-0.001950	-0.004828	0.005207
0.014603	-0.002201	-0.004448	0.004963
0.014653	-0.002290	-0.004529	0.005076
0.014703	-0.002507	-0.004155	0.004853
0.014753	-0.002478	-0.004106	0.004796
0.014803	-0.002323	-0.004306	0.004893
0.014853	-0.002256	-0.003907	0.004511
0.014903	-0.002933	-0.004189	0.005113
0.014953	-0.002465	-0.004164	0.004839
0.015003	-0.002137	-0.004359	0.004855
0.015053	-0.002182	-0.004795	0.005268
0.015103	-0.002105	-0.004389	0.004868
0.015153	-0.002256	-0.004482	0.005018
0.015203	-0.002564	-0.004385	0.005080
0.015253	-0.001883	-0.003914	0.004344
0.015303	-0.002337	-0.004273	0.004870
0.015353	-0.002420	-0.003754	0.004466
0.015403	-0.002599	-0.004583	0.005269
0.015453	-0.002055	-0.004698	0.005128
0.015503	-0.002069	-0.004002	0.004505
0.015553	-0.002010	-0.004493	0.004922
0.015603	-0.002658	-0.004376	0.005120
0.015653	-0.002625	-0.004155	0.004915
0.015703	-0.002632	-0.004507	0.005220
0.015753	-0.002346	-0.004370	0.004960
0.015803	-0.002085	-0.004537	0.004993
0.015853	-0.002494	-0.004305	0.004975
0.015903	-0.002313	-0.004791	0.005321
0.015953	-0.002178	-0.004531	0.005028
0.016003	-0.002172	-0.004102	0.004642
0.016053	-0.002282	-0.004257	0.004830
0.016103	-0.002025	-0.004115	0.004586
0.016153	-0.002254	-0.004521	0.005051
0.016203	-0.002298	-0.003759	0.004405
0.016253	-0.002189	-0.004030	0.004586
0.016303	-0.002212	-0.004179	0.004728
0.016353	-0.002470	-0.004272	0.004935
0.016403	-0.002135	-0.004206	0.004717
0.016453	-0.002237	-0.004314	0.004859
